Base,Base wt %,Support,Support wt %,Yield_H2CO2_2.0,Yield_H2CO2_3.0,Yield_H2CO2_4.0,Max_Yield_AllR,Min_Yield_AllR
Cu,21.69358585858586,CeO2-ZrO2,65.0,10.387462661999995,10.387462661999995,10.387462661999995,10.387462661999995,10.387462661999995
Zr,20.0,CeO2-ZrO2,65.0,10.253578221239472,10.253578221239472,10.253578221239472,10.253578221239472,10.253578221239472
Zn,21.70344827586207,CeO2-ZrO2,65.0,10.253578221239472,10.253578221239472,10.253578221239472,10.253578221239472,10.253578221239472
NiGa,20.0,CeO2-ZrO2,65.0,10.244995085239474,10.244995085239474,10.244995085239474,10.244995085239474,10.244995085239474
Zn,21.70344827586207,ZnO - Al2O3,66.0,10.129839746725708,10.129839746725708,10.107781950525707,10.129839746725708,10.107781950525707
Zr,20.0,ZnO - Al2O3,66.0,10.129839746725708,10.129839746725708,10.107781950525707,10.129839746725708,10.107781950525707
Cu,21.69358585858586,ZnO - Al2O3,66.0,10.12134055688623,10.12134055688623,10.09928276068623,10.12134055688623,10.09928276068623
NiGa,20.0,ZnO - Al2O3,66.0,10.040898176725706,10.040898176725706,10.018840380525706,10.040898176725706,10.018840380525706
Cu,21.69358585858586,Al2O3,56.67370689655172,9.694260681999994,9.694260681999994,9.694260681999994,9.694260681999994,9.694260681999994
Zr,20.0,Al2O3,56.67370689655172,9.584591331239473,9.584591331239473,9.584591331239473,9.584591331239473,9.584591331239473
Zn,21.70344827586207,Al2O3,56.67370689655172,9.584591331239473,9.584591331239473,9.584591331239473,9.584591331239473,9.584591331239473
NiGa,20.0,Al2O3,56.67370689655172,9.563378435239471,9.563378435239471,9.563378435239471,9.563378435239471,9.563378435239471
Zr,20.0,ZnO,57.98146341463415,9.484023516725706,9.484023516725706,9.461965720525708,9.484023516725706,9.461965720525708
Zn,21.70344827586207,ZnO,57.98146341463415,9.484023516725706,9.484023516725706,9.461965720525708,9.484023516725706,9.461965720525708
Cu,21.69358585858586,ZnO,57.98146341463415,9.48037476688623,9.48037476688623,9.45831697068623,9.48037476688623,9.45831697068623
Co,7.5,CeO2-ZrO2,65.0,9.397749860308886,9.397749860308886,9.426374733828888,9.426374733828888,9.397749860308886
NiGa,20.0,ZnO,57.98146341463415,9.399932386725707,9.399932386725707,9.377874590525709,9.399932386725707,9.377874590525709
Ag,8.333333333333334,CeO2-ZrO2,65.0,9.320638260308888,9.320638260308888,9.349263133828888,9.349263133828888,9.320638260308888
Ni,9.7,CeO2-ZrO2,65.0,9.201481159914591,9.201481159914591,9.228631089434591,9.228631089434591,9.201481159914591
Co,7.5,ZnO - Al2O3,66.0,9.10051134636179,9.100511346361788,9.097346713815122,9.10051134636179,9.097346713815122
Ag,8.333333333333334,ZnO - Al2O3,66.0,9.030278842695122,9.030278842695122,9.029955590015124,9.030278842695122,9.029955590015124
Ni,9.7,ZnO - Al2O3,66.0,9.00000858823416,9.00000858823416,9.000289760220827,9.000289760220827,9.00000858823416
Cu,21.69358585858586,CuO,75.0,8.945176047039984,8.945176047039984,8.941951108959984,8.945176047039984,8.941951108959984
Zr,20.0,CuO,75.0,8.892679016504962,8.892679016504962,8.874415926504962,8.892679016504962,8.874415926504962
Zn,21.70344827586207,CuO,75.0,8.892679016504962,8.892679016504962,8.874415926504962,8.892679016504962,8.874415926504962
Zn,21.70344827586207,ZrO2,75.81729729729729,8.890505564190958,8.890505564190958,8.868447767990958,8.890505564190958,8.868447767990958
Zr,20.0,ZrO2,75.81729729729729,8.890505564190958,8.890505564190958,8.868447767990958,8.890505564190958,8.868447767990958
Co,7.5,Al2O3,56.67370689655172,8.84482670030889,8.84482670030889,8.87345157382889,8.87345157382889,8.84482670030889
NiGa,20.0,CuO,75.0,8.86766011050496,8.86766011050496,8.849397020504961,8.86766011050496,8.849397020504961
Ir,5.333333333333333,CeO2-ZrO2,65.0,8.848837024698593,8.848837024698593,8.847056518698594,8.848837024698593,8.847056518698594
Cu,21.69358585858586,ZrO2,75.81729729729729,8.84854187812598,8.84854187812598,8.826484081925981,8.84854187812598,8.826484081925981
NiGa,20.0,ZrO2,75.81729729729729,8.801563994190959,8.801563994190957,8.779506197990957,8.801563994190959,8.779506197990957
Ag,8.333333333333334,Al2O3,56.67370689655172,8.744544440308891,8.744544440308891,8.773169313828891,8.773169313828891,8.744544440308891
Ir,5.333333333333333,ZnO - Al2O3,66.0,8.691546055687493,8.691546055687493,8.668239410420828,8.691546055687493,8.668239410420828
Ni,9.7,Al2O3,56.67370689655172,8.636972669914593,8.636972669914593,8.664122599434593,8.664122599434593,8.636972669914593
Co,7.5,ZnO,57.98146341463415,8.59982437636179,8.59982437636179,8.596659743815124,8.59982437636179,8.596659743815124
Ag,8.333333333333334,ZnO,57.98146341463415,8.506421212695123,8.506421212695125,8.506097960015124,8.506421212695125,8.506097960015124
Ni,9.7,ZnO,57.98146341463415,8.476150958234163,8.476150958234163,8.476432130220829,8.476432130220829,8.476150958234163
Ir,5.333333333333333,Al2O3,56.67370689655172,8.328104824698594,8.328104824698594,8.326324318698594,8.328104824698594,8.326324318698594
Ir,5.333333333333333,ZnO,57.98146341463415,8.211464715687494,8.211464715687494,8.188158070420828,8.211464715687494,8.188158070420828
Co,7.5,CuO,75.0,8.116195152317562,8.116195152317562,8.128184897069564,8.128184897069564,8.116195152317562
Ag,8.333333333333334,CuO,75.0,8.001332812317564,8.001332812317564,8.026732747757565,8.026732747757565,8.001332812317564
Co,7.5,ZrO2,75.81729729729729,7.988444574570225,7.988444574570225,7.985279942023559,7.988444574570225,7.985279942023559
Ni,9.7,CuO,75.0,7.951237653165839,7.951237653165838,7.960124492685838,7.960124492685838,7.951237653165838
Ni,9.7,ZrO2,75.81729729729729,7.887765873685168,7.887765873685168,7.8880470456718355,7.8880470456718355,7.887765873685168
Ag,8.333333333333334,ZrO2,75.81729729729729,7.880461330903558,7.880461330903558,7.88013807822356,7.880461330903558,7.88013807822356
Ir,5.333333333333333,CuO,75.0,7.737366966107269,7.737366966107269,7.71895133133927,7.737366966107269,7.71895133133927
Ir,5.333333333333333,ZrO2,75.81729729729729,7.718076789295931,7.718076789295932,7.694770144029266,7.718076789295932,7.694770144029266
Zr,20.0,SBA-15,82.76486486486488,7.228131017997854,7.228131017997852,7.409920043875555,7.409920043875555,7.228131017997852
Zn,21.70344827586207,SBA-15,82.76486486486488,7.228131017997852,7.228131017997852,7.409920043875554,7.409920043875554,7.228131017997852
Zr,20.0,rGO,83.75,7.261241969997854,7.261241969997854,7.365564497852164,7.365564497852164,7.261241969997854
Zn,21.70344827586207,rGO,83.75,7.261241969997854,7.261241969997854,7.365564497852164,7.365564497852164,7.261241969997854
Mg,0.7000000000000001,CeO2-ZrO2,65.0,7.203711628642798,7.203711628642798,7.343229688642797,7.343229688642797,7.203711628642798
NiGa,20.0,SBA-15,82.76486486486488,7.12821701413709,7.12821701413709,7.310006040014793,7.310006040014793,7.12821701413709
Zr,20.0,MnO,80.0,7.12707938988957,7.12707938988957,7.30886841576727,7.30886841576727,7.12707938988957
Zn,21.70344827586207,MnO,80.0,7.12707938988957,7.12707938988957,7.30886841576727,7.30886841576727,7.12707938988957
NiGa,20.0,rGO,83.75,7.16132796613709,7.16132796613709,7.265650493991401,7.265650493991401,7.16132796613709
Cu,21.69358585858586,SBA-15,82.76486486486488,7.08286560647594,7.082865606475941,7.234232357218556,7.234232357218556,7.08286560647594
Zn,21.70344827586207,ZrO2-CeO2,80.0,7.12116746136957,7.12116746136957,7.225489989223883,7.225489989223883,7.12116746136957
Zr,20.0,ZrO2-CeO2,80.0,7.12116746136957,7.12116746136957,7.22548998922388,7.22548998922388,7.12116746136957
NiGa,20.0,MnO,80.0,7.01364086988957,7.01364086988957,7.19542989576727,7.19542989576727,7.01364086988957
Cu,21.69358585858586,rGO,83.75,7.115976558475941,7.115976558475941,7.189876811195166,7.189876811195166,7.115976558475941
Zn,21.70344827586207,CeO2,79.73058823529414,7.000354836179636,7.000354836179636,7.116117267668243,7.116117267668243,7.000354836179636
Zr,20.0,CeO2,79.73058823529414,7.000354836179636,7.000354836179636,7.116117267668243,7.116117267668243,7.000354836179636
NiGa,20.0,ZrO2-CeO2,80.0,7.00772894136957,7.00772894136957,7.11205146922388,7.11205146922388,7.00772894136957
Cu,21.69358585858586,MnO,80.0,6.93165552970842,6.93165552970842,7.083022280451035,7.083022280451035,6.93165552970842
Mg,0.7000000000000001,Al2O3,56.67370689655172,6.907655278642799,6.9076552786428,7.047173338642802,7.047173338642802,6.907655278642799
Cu,21.69358585858586,ZrO2-CeO2,80.0,6.962377533708421,6.962377533708421,7.036277786427646,7.036277786427646,6.962377533708421
NiGa,20.0,CeO2,79.73058823529414,6.911868055699635,6.911868055699635,7.027630487188243,7.027630487188243,6.911868055699635
Zn,21.70344827586207,Ga2O3,80.0,6.906817244659636,6.906817244659636,7.022579676148244,7.022579676148244,6.906817244659636
Zr,20.0,Ga2O3,80.0,6.906817244659635,6.906817244659636,7.022579676148244,7.022579676148244,6.906817244659635
Cu,21.69358585858586,CeO2,79.73058823529414,6.850975192118487,6.850975192118487,6.951353500392008,6.951353500392008,6.850975192118487
NiGa,20.0,Ga2O3,80.0,6.818330464179636,6.818330464179636,6.934092895668244,6.934092895668244,6.818330464179636
Pd,3.524342105263158,CeO2-ZrO2,65.0,6.742701887024796,6.742701887024796,6.910822047024795,6.910822047024795,6.742701887024796
Cu,21.69358585858586,Ga2O3,80.0,6.757437600598486,6.757437600598486,6.857815908872007,6.857815908872007,6.757437600598486
Mn,1.6,CeO2-ZrO2,65.0,6.575544244392795,6.575544244392795,6.702071324392798,6.702071324392798,6.575544244392795
Ni,9.7,SBA-15,82.76486486486488,6.526498207021063,6.526498207021063,6.700128172371645,6.700128172371645,6.526498207021063
Co,7.5,SBA-15,82.76486486486488,6.520823466199192,6.520823466199192,6.672756530283108,6.672756530283108,6.520823466199192
Mg,0.7000000000000001,CuO,75.0,6.525282509786239,6.525282509786239,6.66480056978624,6.66480056978624,6.525282509786239
Ni,9.7,MnO,80.0,6.477760027343195,6.477760027343196,6.662206835793779,6.662206835793779,6.477760027343195
Zr,20.0,AlCeO,38.8,6.632320603052027,6.632320603052027,6.632320603052027,6.632320603052027,6.632320603052027
Zn,21.70344827586207,AlCeO,38.8,6.632320603052027,6.632320603052027,6.632320603052027,6.632320603052027,6.632320603052027
Re,3.333333333333333,CeO2-ZrO2,65.0,6.459964617992795,6.459964617992795,6.627779977992796,6.627779977992796,6.459964617992795
La,3.0,CeO2-ZrO2,65.0,6.487265525492795,6.487265525492795,6.617606727492797,6.617606727492797,6.487265525492795
Rh,1.0,CeO2-ZrO2,65.0,6.470292027626129,6.470292027626129,6.60625929542613,6.60625929542613,6.470292027626129
Co,7.5,MnO,80.0,6.435451354001325,6.435451354001325,6.598201261185239,6.598201261185239,6.435451354001325
Au,1.2272727272727273,CeO2-ZrO2,65.0,6.459394433887091,6.459394433887093,6.594441559887092,6.594441559887092,6.459394433887091
Ni,9.7,rGO,83.75,6.495839598281688,6.495839598281688,6.592003065608882,6.592003065608882,6.495839598281688
Co,7.5,rGO,83.75,6.518883109560428,6.518883109560427,6.590508295754288,6.590508295754288,6.518883109560427
Ru,1.0,CeO2-ZrO2,65.0,6.471514800459462,6.471514800459462,6.582708643279463,6.582708643279463,6.471514800459462
Pd,3.524342105263158,Al2O3,56.67370689655172,6.411889547024798,6.411889547024798,6.580009707024797,6.580009707024797,6.411889547024798
Ag,8.333333333333334,SBA-15,82.76486486486488,6.412431345334904,6.412431345334904,6.564364409418821,6.564364409418821,6.412431345334904
Y,2.227272727272727,CeO2-ZrO2,65.0,6.430857939359462,6.430857939359462,6.539180104179462,6.539180104179462,6.430857939359462
Ni,9.7,ZrO2-CeO2,80.0,6.428429656803194,6.428429656803194,6.524593124130388,6.524593124130388,6.428429656803194
Cu,21.69358585858586,AlCeO,38.8,6.524005320201587,6.524005320201587,6.524005320201587,6.524005320201587,6.524005320201587
Co,7.5,ZrO2-CeO2,80.0,6.441687173647991,6.441687173647991,6.513312359841851,6.513312359841851,6.441687173647991
Co,7.5,CeO2,79.73058823529414,6.421663041392468,6.421663041392468,6.512301660404996,6.512301660404996,6.421663041392468
NiGa,20.0,AlCeO,38.8,6.507523349585361,6.507523349585361,6.507523349585359,6.507523349585361,6.507523349585359
Ag,8.333333333333334,MnO,80.0,6.327059233137036,6.327059233137036,6.489809140320952,6.489809140320952,6.327059233137036
Ni,9.7,CeO2,79.73058823529414,6.378549870759928,6.378549870759928,6.487178061140453,6.487178061140453,6.378549870759928
Ag,8.333333333333334,rGO,83.75,6.391558731029473,6.391558731029473,6.466025297089999,6.466025297089999,6.391558731029473
Mn,1.6,Al2O3,56.67370689655172,6.279487894392799,6.279487894392798,6.406014974392799,6.406014974392799,6.279487894392798
Co,7.5,Ga2O3,80.0,6.306853437952467,6.306853437952466,6.397492056964994,6.397492056964994,6.306853437952466
Ag,8.333333333333334,ZrO2-CeO2,80.0,6.314362795117035,6.314362795117035,6.388829361177562,6.388829361177562,6.314362795117035
Zr,20.0,In2O3-ZrO2,99.0,6.27773143853152,6.277731438531519,6.385168602659601,6.385168602659601,6.277731438531519
Zn,21.70344827586207,In2O3-ZrO2,99.0,6.277731438531519,6.277731438531519,6.385168602659601,6.385168602659601,6.277731438531519
Ag,8.333333333333334,CeO2,79.73058823529414,6.275803202487101,6.275803202487101,6.379852012187629,6.379852012187629,6.275803202487101
Ni,9.7,Ga2O3,80.0,6.263740267319927,6.263740267319926,6.372368457700454,6.372368457700454,6.263740267319926
NiGa,20.0,In2O3,96.3787514318442,6.287861777196851,6.287861777196851,6.361386270924934,6.361386270924934,6.287861777196851
Re,3.333333333333333,Al2O3,56.67370689655172,6.181388467992796,6.181388467992798,6.349203827992799,6.349203827992799,6.181388467992796
Rh,1.0,Al2O3,56.67370689655172,6.191715877626132,6.191715877626132,6.327683145426133,6.327683145426133,6.191715877626132
La,3.0,Al2O3,56.67370689655172,6.191209175492798,6.191209175492798,6.321550377492799,6.321550377492799,6.191209175492798
NiGa,20.0,In2O3-ZrO2,99.0,6.185716501664851,6.18571650166485,6.307686628792933,6.307686628792933,6.18571650166485
Ru,1.0,Al2O3,56.67370689655172,6.192938650459465,6.192938650459465,6.3041324932794645,6.3041324932794645,6.192938650459465
Zn,21.70344827586207,ZnO-Fe2O3,95.0,6.301782728228786,6.301782728228786,6.241901183142573,6.301782728228786,6.241901183142573
Zr,20.0,ZnO-Fe2O3,95.0,6.301782728228786,6.301782728228786,6.241901183142573,6.301782728228786,6.241901183142573
Au,1.2272727272727273,Al2O3,56.67370689655172,6.163338083887095,6.163338083887095,6.298385209887094,6.298385209887094,6.163338083887095
Zr,20.0,ZnAlO,97.5,6.272875615378788,6.272875615378788,6.295893474315965,6.295893474315965,6.272875615378788
Zn,21.70344827586207,ZnAlO,97.5,6.272875615378788,6.272875615378788,6.295893474315963,6.295893474315963,6.272875615378788
Ir,5.333333333333333,SBA-15,82.76486486486488,6.121669559759465,6.121669559759465,6.274553087723381,6.274553087723381,6.121669559759465
Zn,21.70344827586207,In2O3,96.3787514318442,6.22725571164152,6.22725571164152,6.266769989436269,6.266769989436269,6.22725571164152
Zr,20.0,In2O3,96.3787514318442,6.22725571164152,6.22725571164152,6.266769989436269,6.266769989436269,6.22725571164152
Ag,8.333333333333334,Ga2O3,80.0,6.160993599047101,6.160993599047101,6.265042408747628,6.265042408747628,6.160993599047101
Y,2.227272727272727,Al2O3,56.67370689655172,6.152281789359465,6.152281789359465,6.260603954179464,6.260603954179464,6.152281789359465
Co,7.5,AlCeO,38.8,6.224572484424768,6.224572484424767,6.253197357944768,6.253197357944768,6.224572484424767
Ir,5.333333333333333,rGO,83.75,6.177639633526131,6.177639633526132,6.250215283599991,6.250215283599991,6.177639633526131
Ir,5.333333333333333,MnO,80.0,6.085040532087028,6.085040532087028,6.248740903150945,6.248740903150945,6.085040532087028
Zn,21.70344827586207,MoS2,93.73333333333332,6.187970548505929,6.187970548505929,6.239348315843103,6.239348315843103,6.187970548505929
Zr,20.0,MoS2,93.73333333333332,6.187970548505929,6.187970548505929,6.239348315843103,6.239348315843103,6.187970548505929
Zn,21.70344827586207,ZnO-ZrO2,99.5333333333333,6.235683141471043,6.235683141471043,6.180142658384828,6.235683141471043,6.180142658384828
Zr,20.0,ZnO-ZrO2,99.5333333333333,6.235683141471042,6.235683141471042,6.180142658384828,6.235683141471042,6.180142658384828
NiGa,20.0,ZnO-Fe2O3,95.0,6.235123956545452,6.235123956545452,6.174409926359239,6.235123956545452,6.174409926359239
NiGa,20.0,ZnAlO,97.5,6.185125106945453,6.185125106945453,6.207310480782629,6.207310480782629,6.185125106945453
Zr,20.0,Nb2O5,93.4,6.186002549548785,6.186002549548785,6.203587502485963,6.203587502485963,6.186002549548785
Zn,21.70344827586207,Nb2O5,93.4,6.186002549548785,6.186002549548785,6.203587502485962,6.203587502485962,6.186002549548785
Pd,3.524342105263158,CuO,75.0,6.010845145555555,6.010845145555557,6.178965305555556,6.178965305555556,6.010845145555555
NiGa,20.0,MoS2,93.73333333333332,6.097379121022596,6.097379121022596,6.14792440325977,6.14792440325977,6.097379121022596
Ir,5.333333333333333,ZrO2-CeO2,80.0,6.054642419213695,6.054642419213695,6.127218069287554,6.127218069287554,6.054642419213695
NiGa,20.0,ZnO-ZrO2,99.5333333333333,6.116879121704375,6.116879121704375,6.060506153518161,6.116879121704375,6.060506153518161
NiGa,20.0,Nb2O5,93.4,6.0887589617654525,6.0887589617654525,6.105511429602628,6.105511429602628,6.0887589617654525
Pd,3.524342105263158,ZnO - Al2O3,66.0,5.925736251132795,5.925736251132795,6.097747402432795,6.097747402432795,5.925736251132795
Ni,9.7,AlCeO,38.8,6.032240471174768,6.032240471174768,6.0593904006947685,6.0593904006947685,6.032240471174768
Ag,8.333333333333334,AlCeO,38.8,6.025411965424768,6.025411965424768,6.054036838944768,6.054036838944768,6.025411965424768
Ir,5.333333333333333,CeO2,79.73058823529414,5.972237394542169,5.972237394542169,6.053563110634696,6.053563110634696,5.972237394542169
Zn,21.70344827586207,SiO2,92.02162162162162,6.016420499648789,6.016420499648787,6.045029196585961,6.045029196585961,6.016420499648787
Zr,20.0,TiO2,91.93333333333334,6.016420499648787,6.016420499648786,6.045029196585961,6.045029196585961,6.016420499648786
Zr,20.0,SiO2,92.02162162162162,6.016420499648787,6.016420499648787,6.045029196585961,6.045029196585961,6.016420499648787
Zn,21.70344827586207,TiO2,91.93333333333334,6.016420499648787,6.016420499648787,6.045029196585961,6.045029196585961,6.016420499648787
Mn,1.6,CuO,75.0,5.913608596923557,5.913608596923556,6.0401356769235575,6.0401356769235575,5.913608596923556
Zn,21.70344827586207,MOF,93.95,5.934106789748187,5.934106789748187,6.040026920276269,6.040026920276269,5.934106789748187
Zr,20.0,MOF,93.95,5.934106789748187,5.934106789748187,6.040026920276269,6.040026920276269,5.934106789748187
Zn,21.70344827586207,ZnAl2O4,92.5,6.011288816248788,6.011288816248788,6.039897513185962,6.039897513185962,6.011288816248788
Zr,20.0,ZnAl2O4,92.5,6.011288816248788,6.011288816248788,6.039897513185962,6.039897513185962,6.011288816248788
